Symptom,Possible Diseases,Treatment
Delayed wound healing,"Diabetes, Peripheral vascular disease, Zinc deficiency",Consult a doctor for proper treatment.
Skin discoloration,"Vitiligo, Melasma, Tinea versicolor",Consult a doctor for proper treatment.
Easy bruising,"Platelet disorders, Vitamin C deficiency, Liver disease",Consult a doctor for proper treatment.
Decreased exercise tolerance,"Heart failure, COPD, Anemia",Consult a doctor for proper treatment.
Foot ulcers,"Diabetes, Peripheral vascular disease, Neuropathy",Consult a doctor for proper treatment.
Gangrene,"Diabetes, Peripheral vascular disease, Buerger's disease",Consult a doctor for proper treatment.
Poor night vision,"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",Consult a doctor for proper treatment.
Frequent fractures,"Osteoporosis, Vitamin D deficiency, Paget's disease",Consult a doctor for proper treatment.
Growing pains,"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",Pain relief meds and physiotherapy.
Bedwetting,"Urinary tract infection, Sleep apnea, Diabetes",Consult a doctor for proper treatment.
Failure to thrive,"Malnutrition, Congenital heart disease, Celiac disease",Consult a doctor for proper treatment.
Developmental delay,"Down syndrome, Autism spectrum disorder, Hypothyroidism",Consult a doctor for proper treatment.
Abnormal gait,"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",Consult a doctor for proper treatment.
Limping,"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",Pain relief meds and physiotherapy.
Toe walking,"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",Consult a doctor for proper treatment.
Bowlegs,"Vitamin D deficiency, Blount's disease, Normal development",Consult a doctor for proper treatment.
Knock knees,"Normal development, Rickets, Obesity",Consult a doctor for proper treatment.
Flat feet,"Normal variant, Obesity, Ligament laxity",Consult a doctor for proper treatment.
High arched feet,"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",Consult a doctor for proper treatment.
Excessive crying in infants,"Colic, Ear infection, Gastroesophageal reflux",Consult a doctor for proper treatment.
Recurrent fever in children,"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",Pain relief meds and physiotherapy.
Recurrent abdominal pain in children,"Irritable bowel syndrome, Constipation, Abdominal migraine","Painkillers, rest, avoid triggers."
Excessive sweating in children,"Hyperthyroidism, Anxiety, Infection",Consult a doctor for proper treatment.
Enlarged tonsils,"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",Consult a doctor for proper treatment.
Snoring,"Adenoid hypertrophy, Obesity, Sleep apnea",Consult a doctor for proper treatment.
Mouth breathing,"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",Antihistamines and avoid allergens.
Recurrent ear infections,"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",Consult a doctor for proper treatment.
Delayed teething,"Vitamin D deficiency, Hypothyroidism, Down syndrome",Consult a doctor for proper treatment.
Early puberty,"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",Consult a doctor for proper treatment.
Delayed puberty,"Constitutional delay, Hypogonadism, Chronic disease",Consult a doctor for proper treatment.
Short stature,"Growth hormone deficiency, Hypothyroidism, Malnutrition",Consult a doctor for proper treatment.
Tall stature,"Marfan syndrome, Gigantism, Klinefelter syndrome",Consult a doctor for proper treatment.
Excessive thirst in children,"Diabetes, Diabetes insipidus, Psychogenic polydipsia",Consult a doctor for proper treatment.
Frequent urination in children,"Diabetes, Urinary tract infection, Overactive bladder",Consult a doctor for proper treatment.
Pain in the legs,"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",Pain relief meds and physiotherapy.
Bow legs in children,"Vitamin D deficiency, Rickets, Blount's disease",Consult a doctor for proper treatment.
Knock knees in children,"Rickets, Obesity, Normal variant",Consult a doctor for proper treatment.
Refusal to walk,"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",Pain relief meds and physiotherapy.
Vision problems in children,"Refractive errors, Amblyopia, Strabismus",Consult a doctor for proper treatment.
Head tilting,"Torticollis, Vision problems, Ear infection",Consult a doctor for proper treatment.
Large head,"Hydrocephalus, Familial macrocephaly, Brain tumor",Consult a doctor for proper treatment.
Small head,"Microcephaly, Malnutrition, Genetic disorders",Consult a doctor for proper treatment.
Speech delay,"Autism spectrum disorder, Hearing loss, Intellectual disability",Consult a doctor for proper treatment.
Hyperactivity,"ADHD, Hyperthyroidism, Lead poisoning",Consult a doctor for proper treatment.
Inattention,"ADHD, Learning disabilities, Sleep disorders",Consult a doctor for proper treatment.
Learning difficulties,"Learning disabilities, ADHD, Intellectual disability",Consult a doctor for proper treatment.
Social withdrawal,"Autism spectrum disorder, Depression, Anxiety",Consult a doctor for proper treatment.
Repetitive behaviors,"Autism spectrum disorder, OCD, Tic disorders",Consult a doctor for proper treatment.
Temper tantrums,"Normal development, ADHD, Autism spectrum disorder",Consult a doctor for proper treatment.
Sleep problems in children,"Sleep apnea, Anxiety, ADHD",Consult a doctor for proper treatment.
Night terrors,"Normal variant, Stress, Sleep disorders",Consult a doctor for proper treatment.
Sleepwalking,"Normal variant, Sleep disorders, Stress",Consult a doctor for proper treatment.
Bedwetting,"Urinary tract infection, Sleep apnea, Diabetes",Consult a doctor for proper treatment.
Tics,"Transient tic disorder, Tourette syndrome, OCD",Consult a doctor for proper treatment.
Nail biting,"Anxiety, Normal habit, OCD",Consult a doctor for proper treatment.
Thumb sucking,"Normal development, Anxiety, Dental problems",Consult a doctor for proper treatment.
Hair pulling,"Trichotillomania, Anxiety, Stress",Consult a doctor for proper treatment.
Breath holding spells,"Normal variant, Iron deficiency, Emotional dysregulation",Consult a doctor for proper treatment.
Regression in development,"Autism spectrum disorder, Rett syndrome, Metabolic disorders",Consult a doctor for proper treatment.
Facial weakness,"Bell's palsy, Stroke, Myasthenia gravis",Consult a doctor for proper treatment.
Lockjaw,"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess",Consult a doctor for proper treatment.
Drooping eyelid,"Myasthenia gravis, Horner's syndrome, Stroke",Consult a doctor for proper treatment.
Grinding teeth,"Bruxism, Dental malocclusion, Anxiety",Consult a doctor for proper treatment.
Frequent cavities,"Poor dental hygiene, Diet high in sugar, Genetic factors",Consult a doctor for proper treatment.
Teeth sensitivity,"Dental erosion, Gum recession, Cracked tooth",Consult a doctor for proper treatment.
Loose teeth,"Periodontal disease, Trauma, Osteoporosis",Consult a doctor for proper treatment.
Black spots on teeth,"Dental caries, Staining, Fluorosis",Consult a doctor for proper treatment.
Tooth discoloration,"Fluorosis, Tetracycline use, Poor dental hygiene",Consult a doctor for proper treatment.
Bad breath,"Gum disease, Poor oral hygiene, Sinusitis","Steam inhalation, nasal spray, antibiotics if needed."
Painful gums,"Gingivitis, Dental abscess, Vitamin C deficiency",Consult a doctor for proper treatment.
Receding gums,"Periodontal disease, Aggressive brushing, Smoking",Consult a doctor for proper treatment.
Swollen gums,"Gingivitis, Pregnancy, Medication side effect",Consult a doctor for proper treatment.
Sores on gums,"Canker sores, Herpes, Oral cancer",Consult a doctor for proper treatment.
White patches in mouth,"Oral thrush, Leukoplakia, Oral lichen planus",Consult a doctor for proper treatment.
Red patches in mouth,"Erythroplakia, Vitamin deficiency, Geographic tongue",Consult a doctor for proper treatment.
Swollen tongue,"Allergic reaction, Vitamin deficiency, Angioedema",Antihistamines and avoid allergens.
Geographic tongue,"Benign condition, Psoriasis, Vitamin deficiency",Consult a doctor for proper treatment.
Hairy tongue,"Poor oral hygiene, Antibiotics, Tobacco use",Consult a doctor for proper treatment.
Burning tongue,"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis",Consult a doctor for proper treatment.
Dry mouth,"Sjögren's syndrome, Medication side effect, Dehydration",Consult a doctor for proper treatment.
Excessive salivation,"Dental infection, Parkinson's disease, GERD",Consult a doctor for proper treatment.
Difficulty opening mouth,"Tetanus, Temporomandibular joint disorder, Oral cancer",Consult a doctor for proper treatment.
Clicking jaw,"Temporomandibular joint disorder, Arthritis, Malocclusion",Pain relief meds and physiotherapy.
Jaw pain,"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",Consult a doctor for proper treatment.
Facial swelling,"Dental abscess, Angioedema, Parotitis",Consult a doctor for proper treatment.
Facial pain,"Sinusitis, Trigeminal neuralgia, Dental abscess","Steam inhalation, nasal spray, antibiotics if needed."
Facial redness,"Rosacea, Lupus, Seborrheic dermatitis",Consult a doctor for proper treatment.
Facial rash,"Rosacea, Lupus, Contact dermatitis",Consult a doctor for proper treatment.
Nodules on face,"Acne, Rosacea, Basal cell carcinoma",Consult a doctor for proper treatment.
Open sores on face,"Impetigo, Herpes, Skin cancer",Consult a doctor for proper treatment.
Facial hair in women,"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",Consult a doctor for proper treatment.
Hair loss,"Alopecia, Thyroid disorders, Iron deficiency",Consult a doctor for proper treatment.
Hair thinning,"Androgenetic alopecia, Hypothyroidism, Iron deficiency",Consult a doctor for proper treatment.
Brittle hair,"Hypothyroidism, Malnutrition, Cushing's syndrome",Consult a doctor for proper treatment.
Dandruff,"Seborrheic dermatitis, Psoriasis, Fungal infection",Consult a doctor for proper treatment.
Itchy scalp,"Seborrheic dermatitis, Head lice, Psoriasis",Consult a doctor for proper treatment.
Scalp sores,"Psoriasis, Seborrheic dermatitis, Folliculitis",Consult a doctor for proper treatment.
Scalp tenderness,"Tension headache, Scalp infection, Temporal arteritis",Consult a doctor for proper treatment.
Premature graying,"Genetic factors, Vitamin B12 deficiency, Thyroid disorders",Consult a doctor for proper treatment.
Excessive hair growth,"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",Consult a doctor for proper treatment.
Boils,"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa",Consult a doctor for proper treatment.
Skin tags,"Normal variant, Obesity, Insulin resistance",Consult a doctor for proper treatment.
Moles,"Normal variant, Atypical nevus, Melanoma",Consult a doctor for proper treatment.
Freckles,"Sun exposure, Genetic factors, Xeroderma pigmentosum",Consult a doctor for proper treatment.
Age spots,"Sun damage, Aging, Liver disease",Consult a doctor for proper treatment.
Birthmarks,"Port wine stain, Hemangioma, Nevus",Consult a doctor for proper treatment.
Vitiligo,"Autoimmune disorder, Genetic factors, Inflammatory conditions",Consult a doctor for proper treatment.
Hives,"Allergic reaction, Stress, Infection",Antihistamines and avoid allergens.
Blisters,"Burns, Friction, Pemphigus",Consult a doctor for proper treatment.
Calluses,"Pressure, Friction, Hyperkeratosis",Consult a doctor for proper treatment.
Corns,"Pressure, Friction, Improper footwear",Consult a doctor for proper treatment.
Warts,"Human papillomavirus, Immune suppression, Skin trauma",Consult a doctor for proper treatment.
Varicose veins,"Chronic venous insufficiency, Pregnancy, Prolonged standing",Consult a doctor for proper treatment.
Spider veins,"Chronic venous insufficiency, Liver disease, Hormonal changes",Consult a doctor for proper treatment.
Cold sores,"Herpes simplex virus, Weakened immune system, Stress",Consult a doctor for proper treatment.
Leg cramps at night,"Dehydration, Electrolyte imbalance, Peripheral artery disease",Consult a doctor for proper treatment.
Restless legs,"Restless legs syndrome, Iron deficiency, Kidney failure",Consult a doctor for proper treatment.
Flank pain,"Kidney stones, Pyelonephritis, Muscle strain",Consult a doctor for proper treatment.
Pelvic pain,"Endometriosis, Pelvic inflammatory disease, Ovarian cysts",Consult a doctor for proper treatment.
Groin pain,"Hernia, Muscle strain, Kidney stones",Consult a doctor for proper treatment.
Heel pain,"Plantar fasciitis, Achilles tendinitis, Heel spurs",Consult a doctor for proper treatment.
Wrist pain,"Carpal tunnel syndrome, Tendinitis, Arthritis",Pain relief meds and physiotherapy.
Finger pain,"Arthritis, Trigger finger, Raynaud's disease",Pain relief meds and physiotherapy.
Toe pain,"Gout, Bunion, Ingrown toenail",Consult a doctor for proper treatment.
Shoulder stiffness,"Frozen shoulder, Arthritis, Rotator cuff injury",Pain relief meds and physiotherapy.
Neck stiffness,"Meningitis, Cervical spondylosis, Muscle strain",Consult a doctor for proper treatment.
Back stiffness,"Ankylosing spondylitis, Muscle strain, Degenerative disc disease",Consult a doctor for proper treatment.
Hip pain,"Arthritis, Bursitis, Sciatica",Pain relief meds and physiotherapy.
Knee clicking,"Meniscus tear, Arthritis, Ligament injury",Pain relief meds and physiotherapy.
Knee locking,"Meniscus tear, Loose body, Patellar dislocation",Consult a doctor for proper treatment.
Knee instability,"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness",Consult a doctor for proper treatment.
Elbow pain,"Tennis elbow, Golfer's elbow, Arthritis",Pain relief meds and physiotherapy.
Muscle twitching,"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease",Consult a doctor for proper treatment.
Muscle spasms,"Dehydration, Muscle fatigue, Electrolyte imbalance",Consult a doctor for proper treatment.
Muscle soreness after exercise,"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis",Consult a doctor for proper treatment.
Tingling sensation,"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome",Consult a doctor for proper treatment.
Burning sensation on skin,"Neuropathy, Shingles, Sunburn",Consult a doctor for proper treatment.
Crawling sensation on skin,"Formication, Peripheral neuropathy, Delusional parasitosis",Consult a doctor for proper treatment.
Loss of coordination,"Ataxia, Stroke, Multiple sclerosis",Consult a doctor for proper treatment.
Clumsiness,"Dyspraxia, Ataxia, Vitamin B12 deficiency",Consult a doctor for proper treatment.
Difficulty walking,"Peripheral neuropathy, Parkinson's disease, Arthritis",Pain relief meds and physiotherapy.
Shuffling gait,"Parkinson's disease, Normal pressure hydrocephalus, Stroke",Consult a doctor for proper treatment.
Difficulty standing up,"Muscle weakness, Orthostatic hypotension, Parkinson's disease",Consult a doctor for proper treatment.
Difficulty reaching overhead,"Rotator cuff injury, Frozen shoulder, Arthritis",Pain relief meds and physiotherapy.
Difficulty gripping objects,"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy",Pain relief meds and physiotherapy.
Dropping objects frequently,"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness",Consult a doctor for proper treatment.
Hand tremors when writing,"Essential tremor, Parkinson's disease, Anxiety",Consult a doctor for proper treatment.
Shaky voice,"Vocal tremor, Parkinson's disease, Anxiety",Consult a doctor for proper treatment.
Slow speech,"Parkinson's disease, Stroke, Hypothyroidism",Consult a doctor for proper treatment.
